"Step","mini-gpt-boosted - val/loss","mini-gpt-boosted - val/loss__MIN","mini-gpt-boosted - val/loss__MAX"
"0","4.196597099304199","4.196597099304199","4.196597099304199"
"1","2.2705163955688477","2.2705163955688477","2.2705163955688477"
"2","1.8793740272521973","1.8793740272521973","1.8793740272521973"
"3","1.683118462562561","1.683118462562561","1.683118462562561"
"4","1.5857561826705933","1.5857561826705933","1.5857561826705933"
"5","1.5222253799438477","1.5222253799438477","1.5222253799438477"
"6","1.5035102367401123","1.5035102367401123","1.5035102367401123"
"7","1.477821946144104","1.477821946144104","1.477821946144104"
"8","1.4677067995071411","1.4677067995071411","1.4677067995071411"
"9","1.4686719179153442","1.4686719179153442","1.4686719179153442"
"10","1.4629974365234375","1.4629974365234375","1.4629974365234375"
"11","1.4796770811080933","1.4796770811080933","1.4796770811080933"
"12","1.4882904291152954","1.4882904291152954","1.4882904291152954"
"13","1.5000439882278442","1.5000439882278442","1.5000439882278442"
"14","1.517177939414978","1.517177939414978","1.517177939414978"
"15","1.5181251764297485","1.5181251764297485","1.5181251764297485"
"16","1.5447425842285156","1.5447425842285156","1.5447425842285156"
"17","1.5533312559127808","1.5533312559127808","1.5533312559127808"
"18","1.5701462030410767","1.5701462030410767","1.5701462030410767"
"19","1.574994683265686","1.574994683265686","1.574994683265686"
"20","1.5842519998550415","1.5842519998550415","1.5842519998550415"